parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
analysis_id,wzmsm0ry602q683
gene_symbol,Hspa5
mouse_life_stage,E12.5
pvalue,0.639462
gene_accession_id,MGI:95835
mouse_strain,C57BL
