analysis_id,n90o392e707e47r
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
gene_symbol,Dmap1
parameter_name,Startle Response
pvalue,0.1141212
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
