gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,HRV
pvalue,0.8065025
gene_accession_id,MGI:3026886
analysis_id,v89t0i4qkbuar43
parameter_id,IMPC_ECG_010_001
