parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.3215441
parameter_id,JAX_OFD_017_001
analysis_id,8gsu47fh4g6xdy9
