parameter_name,Time mobile dark side
mouse_strain,C57BL
pvalue,0.8911011
gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
parameter_id,JAX_LDT_005_001
analysis_id,vwhaq9eb940qhg8
