gene_symbol,Lamb3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2734917
parameter_id,GMC_906_001_005
analysis_id,q5ki5n2f4f68307
parameter_name,Potassium
gene_accession_id,MGI:99915
