gene_symbol,Rhbg
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
pvalue,0.4703743
mouse_strain,C57BL
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
analysis_id,9x6mb7vi551p321
