gene_symbol,Cldn19
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
pvalue,0.5062749
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
analysis_id,rhev93722y5v7p8
