parameter_name,Radius
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,AU040320
parameter_id,IMPC_XRY_022_001
pvalue,0.4242398
gene_accession_id,MGI:2140475
analysis_id,7u1be1e2zk0m4th
