analysis_id,52m97cn5ywo482c
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_name,% Freezing duration pre-cue-2
pvalue,0.3174503
mouse_strain,C57BL
gene_symbol,Psd4
parameter_id,ICS_FEA_019_001
