analysis_id,339465np46gibs9
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_DXA_008_001
gene_accession_id,MGI:2444554
pvalue,0.9413493
gene_symbol,Mapkap1
parameter_name,Lean/Body weight
