gene_symbol,Cdin1
pvalue,0.4889981
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:3026886
analysis_id,121s828skg1429h
parameter_name,Limb morphology
