analysis_id,m1128ohoq10z2pm
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:2446274
parameter_name,Eyelid morphology
pvalue,0.9166895
mouse_strain,C57BL
