Analysis_id,e32orm7500lmes6
gene_symbol,Tubb4b
Parameter_name,Platelet count
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
pvalue,0.8814154
Parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
