parameter_name,Limb grasping
gene_accession_id,MGI:1920638
mouse_strain,C57BL
pvalue,0.09862231
parameter_id,ESLIM_008_001_017
gene_symbol,Bpifa3
analysis_id,j74v209pku0ju4o
mouse_life_stage,Early adult
