gene_symbol,Ntmt2
pvalue,0.9523368
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
mouse_life_stage,Early adult
analysis_id,004e70c76ui6817
