analysis_id,6vm1uj6ts2k6q94
gene_symbol,Cd52
gene_accession_id,MGI:1346088
mouse_strain,C57BL
pvalue,0.4489022
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
parameter_name,Lymphocyte differential count
