gene_symbol,Morn5
analysis_id,h1m350q85f9hfjy
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:1922745
parameter_name,Tremor
pvalue,0.1129455
mouse_life_stage,Early adult
