analysis_id,r921b6y9098a7m5
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
gene_symbol,F2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88380
pvalue,0.3493687
