analysis_id,1i07f4z74fj4jw5
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:1931749
parameter_id,MGP_PBI_015_001
gene_symbol,Pum1
pvalue,0.4042528
mouse_life_stage,Early adult
mouse_strain,C57BL
