analysis_id,szr9y17jcm8ds53
mouse_strain,C57BL
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
pvalue,0.5914317
mouse_life_stage,Early adult
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
