analysis_id,q43w76gz383hn4h
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_name,Corneal opacity
pvalue,0.3746283
parameter_id,IMPC_EYE_008_001
