gene_symbol,Arpc5l
mouse_life_stage,Early adult
analysis_id,94e505d3z5t8660
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
pvalue,0.3084701
parameter_name,Bone Area
