analysis_id,800d8utg121j454
gene_symbol,Slc2a8
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
pvalue,0.7400478
gene_accession_id,MGI:1860103
