parameter_name,Time mobile light side
gene_symbol,Tox
parameter_id,JAX_LDT_003_001
pvalue,0.3063136
analysis_id,3cs8z830l3j8w5s
gene_accession_id,MGI:2181659
mouse_strain,C57BL
mouse_life_stage,Early adult
