analysis_id,v267948227mk4of
mouse_life_stage,Early adult
parameter_name,Skull shape
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
mouse_strain,C57BL
pvalue,0.2560382
parameter_id,IMPC_XRY_001_001
