parameter_name,Center permanence time
gene_symbol,Zc2hc1a
mouse_strain,C57BL
pvalue,0.627667
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
analysis_id,6a3g9n74206rq96
