parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
mouse_life_stage,E9.5
gene_symbol,Slc39a10
analysis_id,zh4dza4l2pha63d
mouse_strain,C57BL
pvalue,0.910187
gene_accession_id,MGI:1914515
