analysis_id,aepkm7vao0014k0
parameter_id,IMPC_IMM_005_002
pvalue,0.1655952
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:2444554
