analysis_id,983a27h2sp27s27
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
mouse_life_stage,Middle aged adult
pvalue,0.5005245
parameter_name,Body Weight
gene_symbol,Secisbp2l
