parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:891989
analysis_id,dbe3y8w803xnzgc
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.5658361
