analysis_id,50n6z5r80vr2200
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:1919935
mouse_strain,C57BL
parameter_name,Center average speed
gene_symbol,Dnajc6
mouse_life_stage,Early adult
pvalue,0.97139
