pvalue,0.2984417
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
analysis_id,u5h8f6849t9y61k
gene_accession_id,MGI:104848
parameter_name,Eosinophil cell count
gene_symbol,Inpp1
mouse_strain,C57BL
