parameter_name,Center distance travelled
mouse_life_stage,Early adult
parameter_id,JAX_OFD_014_001
gene_symbol,Lcn2
analysis_id,zp6emvj01gq52x7
pvalue,0.951793
mouse_strain,C57BL
gene_accession_id,MGI:96757
