analysis_id,u42vrabu32vtp27
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
pvalue,0.5803976
mouse_life_stage,Early adult
mouse_strain,C57BL
