parameter_name,Body Weight
pvalue,0.1742917
gene_accession_id,MGI:1931322
gene_symbol,Car13
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,zrpo07n04p59hn6
