gene_symbol,Arnt
parameter_name,Periphery average speed
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.3795399
analysis_id,4l7z818683j64zo
