gene_symbol,Rab3gap2
parameter_name,Vocalization
gene_accession_id,MGI:1916043
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
pvalue,0.5580628
analysis_id,10n8694m932ux3c
