analysis_id,yz0dam2e13k8r32
pvalue,0.1653885
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
