analysis_id,phzg598wnogd75p
parameter_name,CD11b-high cDC - % of CD45+
gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.9383939
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
