parameter_name,LVIDd
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
pvalue,0.7266377
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
gene_symbol,Slc39a10
analysis_id,l675u0p206hx3bm
