parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
pvalue,0.3290575
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
analysis_id,950uwetxw50r11m
parameter_name,Skull shape
mouse_life_stage,Early adult
