gene_symbol,Ntmt2
analysis_id,45ki53x8c657i89
pvalue,0.5800418
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_name,Hindpaw - size
