analysis_id,866v79g59rtvez2
parameter_name,Center average speed
mouse_life_stage,Early adult
pvalue,0.5966974
gene_accession_id,MGI:1346344
parameter_id,IMPC_OFD_017_001
gene_symbol,Nr0b2
mouse_strain,B6J
