parameter_name,Delayed embryonic development
gene_accession_id,MGI:1916846
pvalue,0.8172079
parameter_id,IMPC_GEL_063_001
gene_symbol,Ap5s1
mouse_strain,C57BL
analysis_id,d8f36c2cgs89mqy
mouse_life_stage,Early adult
