gene_symbol,Hrnr
parameter_id,IMPC_CSD_079_001
analysis_id,39x5943x203z421
gene_accession_id,MGI:3046938
parameter_name,Aggression
mouse_life_stage,Early adult
pvalue,0.9835429
mouse_strain,C57BL
