gene_symbol,Ints7
analysis_id,4c1u6362lcunq7x
mouse_life_stage,E9.5
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.1125043
gene_accession_id,MGI:1924315
mouse_strain,C57BL
