parameter_id,IMPC_GEL_027_001
pvalue,0.2661294
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,Neural tube closure
analysis_id,vc3hi6e6m6i05ty
mouse_strain,129SV
gene_accession_id,MGI:1920638
