gene_symbol,Dnajc6
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
pvalue,0.6809763
mouse_strain,C57BL
analysis_id,8x1d0917029w8i3
gene_accession_id,MGI:1919935
