parameter_name,Periphery permanence time
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
analysis_id,9w47w0bryfs5b9w
parameter_id,IMPC_OFD_012_001
pvalue,0.1063412
gene_symbol,Tiprl
mouse_strain,C57BL
