gene_symbol,Trp53rkb
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
analysis_id,n5h2o0mg467b3o3
pvalue,1.042111
parameter_name,Corneal vascularization
gene_accession_id,MGI:1914050
mouse_strain,C57BL
