analysis_id,3e7fwf41h7x9b52
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,IMPC_HEM_008_001
pvalue,0.4637772
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Platelet count
