analysis_id,c76r2c11p1mv47w
pvalue,0.3642719
parameter_id,IMPC_HEM_038_001
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
parameter_name,Basophil differential count
mouse_strain,C57BL
