parameter_name,Hematocrit
analysis_id,8cl670g5n8jqwo5
mouse_life_stage,Early adult
pvalue,0.1418848
gene_accession_id,MGI:2670995
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
gene_symbol,Trp53i11
