analysis_id,0sd204n071s577d
gene_symbol,Golm2
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
pvalue,0.8569472
parameter_name,Startle response
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
