analysis_id,7qijc5z7c1c9hvi
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
pvalue,0.2466483
mouse_strain,C57BL
parameter_name,Platelet count
gene_accession_id,MGI:3588214
