gene_symbol,Trim46
analysis_id,434ai65dk06x9ew
pvalue,0.667953
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_id,MGP_IMM_026_001
mouse_life_stage,Early adult
