gene_symbol,Arnt
mouse_strain,C57BL
pvalue,0.3517124
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
analysis_id,u45285g06uh137u
parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
