parameter_name,Limb coat/hair presence
mouse_strain,C57BL
pvalue,0.8621328
gene_symbol,Ahcy
mouse_life_stage,E12.5
parameter_id,MGP_CSD_030_001
analysis_id,fwjbl4o4qtm1h86
gene_accession_id,MGI:87968
