analysis_id,3hvg0mr19311245
pvalue,0.8186025
gene_symbol,Kdm4c
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
