parameter_name,Total holepokes
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4559633
gene_accession_id,MGI:95835
parameter_id,JAXLA_HBD_001_001
analysis_id,67339893q327c90
gene_symbol,Hspa5
