gene_symbol,Rap2b
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
pvalue,0.7503249
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1921262
analysis_id,ie670x0mm3t83s7
