analysis_id,xjwfi1fjfz8j9h8
mouse_strain,C57BL
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Corneal opacity
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
pvalue,0.6988136
