gene_symbol,Pglyrp3
parameter_id,IMPC_XRY_033_001
parameter_name,Tibia length
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,iy35ky09305vgbr
pvalue,0.7294161
gene_accession_id,MGI:2685266
